Screen_Name,User_Name,Tweet_Text,Hashtags,Tweet_Created_At,Favorite_Count,Retweet_Count,Tweet_URL,lat,long,keyword
REALORIGINALME,ORIGINAL_ME,Somebody please help me to find these high crimes &amp; misdemeanors. I was born at night but it wasn't last night. I'm… https://t.co/nIjnzNpSSm,[],2019-11-16 15:59:51,0,0,"[{'url': 'https://t.co/nIjnzNpSSm', 'expanded_url': 'https://twitter.com/i/web/status/1195854021413748736', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]",39.5162234,-76.9382069,#trump
MetalRabbit13,MetalRabbit13,"What the #Democrats have made clear is that if the concern of #Trump about #Ukraine aid was about #corruption, why… https://t.co/2oMnGzGcXC","[{'text': 'Democrats', 'indices': [9, 19]}, {'text': 'Trump', 'indices': [62, 68]}, {'text': 'Ukraine', 'indices': [75, 83]}, {'text': 'corruption', 'indices': [98, 109]}]",2019-11-20 15:54:13,0,0,"[{'url': 'https://t.co/2oMnGzGcXC', 'expanded_url': 'https://twitter.com/i/web/status/1197302155738259458', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",39.5162234,-76.9382069,#trump
Ep_NFDY,E P,"Read the transcript - summary 

#Trump sharpie edited Unisex T-Shirt get it now at https://t.co/TJpkFkKElR or… https://t.co/hFhRADzkCi","[{'text': 'Trump', 'indices': [32, 38]}]",2019-11-21 15:59:07,0,0,"[{'url': 'https://t.co/TJpkFkKElR', 'expanded_url': 'https://etsy.me/2OcWXoF', 'display_url': 'etsy.me/2OcWXoF', 'indices': [83, 106]}, {'url': 'https://t.co/hFhRADzkCi', 'expanded_url': 'https://twitter.com/i/web/status/1197665775219281920', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]",39.5162234,-76.9382069,#trump
titowebjunkie,TITO🇵🇷,"There goes the new years party.. 
The wall I tell you.. We need an Ocean wall. 

Watch the #CoastGuard #Capture Ano… https://t.co/Muvg7XKL7c","[{'text': 'CoastGuard', 'indices': [91, 102]}, {'text': 'Capture', 'indices': [103, 111]}]",2019-11-16 15:59:47,1,1,"[{'url': 'https://t.co/Muvg7XKL7c', 'expanded_url': 'https://twitter.com/i/web/status/1195854004103925765', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#trump
election020,Nationalist,"#SaturdayThoughts I didn't know California was still in the Union. 
#SchiffForPrison
| @TCPigott
He also seems to t… https://t.co/7uuR8zqt20","[{'text': 'SaturdayThoughts', 'indices': [0, 17]}, {'text': 'SchiffForPrison', 'indices': [68, 84]}]",2019-11-16 15:51:46,2,0,"[{'url': 'https://t.co/7uuR8zqt20', 'expanded_url': 'https://twitter.com/i/web/status/1195851986962247680', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#trump
Stearley39,Stearley,#trump #economy #sucks #liar #constitutionkiller https://t.co/Nj0mqxroA4,"[{'text': 'trump', 'indices': [0, 6]}, {'text': 'economy', 'indices': [7, 15]}, {'text': 'sucks', 'indices': [16, 22]}, {'text': 'liar', 'indices': [23, 28]}, {'text': 'constitutionkiller', 'indices': [29, 48]}]",2019-11-17 15:47:57,0,0,"[{'url': 'https://t.co/Nj0mqxroA4', 'expanded_url': 'https://amp-businessinsider-com.cdn.ampproject.org/c/s/amp.businessinsider.com/9-charts-comparing-trump-economy-to-obama-bush-administrations-2019-9', 'display_url': '…usinessinsider-com.cdn.ampproject.org/c/s/amp.busine…', 'indices': [49, 72]}]",39.7837304,-100.4458825,#trump
JacksonvilleGod,Jacksonville Florida Is Beloved By God,It's very sad that some will use this tragedy to take away your guns. #SaugusStrong #SaugusShooting… https://t.co/XOLoS45v9j,"[{'text': 'SaugusStrong', 'indices': [70, 83]}, {'text': 'SaugusShooting', 'indices': [84, 99]}]",2019-11-17 15:47:12,0,1,"[{'url': 'https://t.co/XOLoS45v9j', 'expanded_url': 'https://twitter.com/i/web/status/1196213228700884992', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [101, 124]}]",39.7837304,-100.4458825,#trump
Sentimentalgal5,AnimalLover 2019💥,"@GOPChairwoman DISGRACE to family. You Are CORRUPT!!
That's the problem with the #GOP you are lying, corrupt, greed… https://t.co/AlXP15aKft","[{'text': 'GOP', 'indices': [81, 85]}]",2019-11-18 15:59:50,0,0,"[{'url': 'https://t.co/AlXP15aKft', 'expanded_url': 'https://twitter.com/i/web/status/1196578794527690754', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#trump
chasingman,Eddie,"#Trump Tested for Deliberate #Poisoning of Food With “Time Delayed” Chemical Agent – White House Source 
https://t.co/uncRFKCyET","[{'text': 'Trump', 'indices': [0, 6]}, {'text': 'Poisoning', 'indices': [29, 39]}]",2019-11-18 15:57:20,0,0,"[{'url': 'https://t.co/uncRFKCyET', 'expanded_url': 'https://www.newswars.com/trump-tested-for-deliberate-poisoning-of-food-with-time-delayed-chemical-agent-white-house-source/', 'display_url': 'newswars.com/trump-tested-f…', 'indices': [105, 128]}]",39.7837304,-100.4458825,#trump
JRussBriley,JRuss,A Tiny Brontë Book Comes Home https://t.co/98fsbc87Vy via @nytimesbooks #trump #thriller https://t.co/rICcQR7Fmf,"[{'text': 'trump', 'indices': [72, 78]}, {'text': 'thriller', 'indices': [79, 88]}]",2019-11-18 15:56:31,0,0,"[{'url': 'https://t.co/98fsbc87Vy', 'expanded_url': 'https://www.nytimes.com/2019/11/18/arts/design/charlotte-bronte-book.html?emc=rss&partner=rss', 'display_url': 'nytimes.com/2019/11/18/art…', 'indices': [30, 53]}]",39.7837304,-100.4458825,#trump
