Favorite_Count,Favorited,Hashtags,Replied,Retweet_Count,Retweeted,Screen_Name,Tweet_Coordinates,Tweet_Created_At,Tweet_Place,Tweet_Text,Tweet_URL,User_Location,User_Name,index,lat,long,keyword
0,False,"[{'text': 'FeelTheBern', 'indices': [51, 63]}, {'text': 'Bernie2020', 'indices': [64, 75]}, {'text': 'TooFarLeft', 'indices': [76, 87]}, {'text': 'BlueWave', 'indices': [88, 97]}]",1196284986225094656,0,False,diannereads,None,2019-11-18 15:54:41,None,@davidsirota @BernieSanders It was a great weekend #FeelTheBern #Bernie2020 #TooFarLeft #BlueWave https://t.co/siUOOu5FYu,[],United States,D,1,39.7837304,-100.4458825,#feelthebern
0,False,"[{'text': 'government', 'indices': [89, 100]}]",1196555011418927106,0,False,sgtcrypto99,None,2019-11-18 14:44:13,None,@BernieSanders How is “taxing” a company more going to stop the “ravenous beast” aka the #government stop spending?… https://t.co/gjD6qll2h3,"[{'url': 'https://t.co/gjD6qll2h3', 'expanded_url': 'https://twitter.com/i/web/status/1196559765419245568', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",United States,Sgt.Crypto,1,39.7837304,-100.4458825,#feelthebern
1,False,"[{'text': 'FeelTheBern', 'indices': [0, 12]}]",None,1,False,Nite_Colors,None,2019-11-18 11:43:54,None,#FeelTheBern https://t.co/RJcLY9CkVk,"[{'url': 'https://t.co/RJcLY9CkVk', 'expanded_url': 'https://twitter.com/thehill/status/1196241884944973824', 'display_url': 'twitter.com/thehill/status…', 'indices': [13, 36]}]",United States,Brent ♔ ♕ ♗ ♘ ♙,1,39.7837304,-100.4458825,#feelthebern
17,False,"[{'text': 'M4A', 'indices': [60, 64]}]",1196437110519152642,0,False,CathiZhoomin,None,2019-11-18 08:06:08,None,@timjacobwise What’s with all this “No We Can’t” BS. Taking #M4A off the table from the get gets you nothing. We’ve… https://t.co/2zFHxXkaLp,"[{'url': 'https://t.co/2zFHxXkaLp', 'expanded_url': 'https://twitter.com/i/web/status/1196459581972664321', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",United States,Cathi Zhoomin Rotan,1,39.7837304,-100.4458825,#feelthebern
0,False,"[{'text': 'Biden2020', 'indices': [0, 10]}]",None,0,False,BHPanimalwatch,None,2019-11-18 07:43:03,None,"#Biden2020 is all about appeasing non existent ""moderate Republican voters"" just like Hillary Clinton's losing stra… https://t.co/SAjMy3HbHn","[{'url': 'https://t.co/SAjMy3HbHn', 'expanded_url': 'https://twitter.com/i/web/status/1196453775210352640', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",United States,BHP Animal Watch,1,39.7837304,-100.4458825,#feelthebern
0,False,"[{'text': 'ChangeAmerica', 'indices': [75, 89]}, {'text': 'Democracy', 'indices': [105, 115]}]",1196327835423539202,0,False,BHPanimalwatch,None,2019-11-18 05:35:16,None,"@Noahpinion And the common denominator is...
Yes, US Foreign Policy. Let's #ChangeAmerica. Let's support #Democracy… https://t.co/ddjtcgpqgx","[{'url': 'https://t.co/ddjtcgpqgx', 'expanded_url': 'https://twitter.com/i/web/status/1196421615812255745', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",United States,BHP Animal Watch,1,39.7837304,-100.4458825,#feelthebern
0,False,"[{'text': 'FeelTheBern', 'indices': [0, 12]}, {'text': 'ChangeAmerica', 'indices': [13, 27]}, {'text': 'Bernie2020', 'indices': [28, 39]}]",None,0,False,BHPanimalwatch,None,2019-11-18 05:31:51,None,#FeelTheBern #ChangeAmerica #Bernie2020 https://t.co/jTgVm7Yeja,"[{'url': 'https://t.co/jTgVm7Yeja', 'expanded_url': 'https://twitter.com/venanalysis/status/1196255398283685888', 'display_url': 'twitter.com/venanalysis/st…', 'indices': [40, 63]}]",United States,BHP Animal Watch,1,39.7837304,-100.4458825,#feelthebern
0,False,"[{'text': 'FeelTheBern', 'indices': [49, 61]}, {'text': 'Bernie2020', 'indices': [62, 73]}, {'text': 'berniecanplayball', 'indices': [74, 92]}, {'text': 'TeamBlue', 'indices': [93, 102]}]",1196220761842700288,0,False,terrimateer,None,2019-11-18 05:28:31,"Place(_api=<tweepy.api.API object at 0x1055c5f28>, id='94965b2c45386f87', url='https://api.twitter.com/1.1/geo/id/94965b2c45386f87.json', place_type='admin', name='New York', full_name='New York, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1055c5f28>, type='Polygon', coordinates=[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]), attributes={})",@fshakir @BernieSanders Best team player we got! #FeelTheBern #Bernie2020 #berniecanplayball #TeamBlue,[],United States,Terri Mateer,1,39.7837304,-100.4458825,#feelthebern
9,False,"[{'text': 'TeamBernie', 'indices': [5, 16]}, {'text': 'NotMeUs', 'indices': [33, 41]}]",None,2,False,LovesTheBern,None,2019-11-19 12:27:55,None,"Dear #TeamBernie: Please put the #NotMeUs graphic on a mug. I know it's on a koozie, but it would be fantastic on a… https://t.co/F1l0UzmCtO","[{'url': 'https://t.co/F1l0UzmCtO', 'expanded_url': 'https://twitter.com/i/web/status/1196887852824444928', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",United States,Veronica Serves Tea,1,39.7837304,-100.4458825,#feelthebern
0,False,[],1196848706567524364,0,False,ppprogressive,None,2019-11-19 09:52:22,None,"that it is about time America finally has universal healthcare, he wa seeing very vague because he stated he wasn’t… https://t.co/j20PLOWTlq","[{'url': 'https://t.co/j20PLOWTlq', 'expanded_url': 'https://twitter.com/i/web/status/1196848707850899456', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",United States,Feel The Bern🔥,1,39.7837304,-100.4458825,#feelthebern
