Screen_Name,User_Name,Tweet_Text,Hashtags,Tweet_Created_At,Favorite_Count,Retweet_Count,Tweet_URL,lat,long,keyword
AmyThom11087122,Amy Thomas,"Bernie is leading in a new Reuter’s Poll. Keep up the fight! Make the calls, texts, knock on doors. Let’s change th… https://t.co/4g5JQPap8K",[],2019-11-16 15:59:49,3,0,"[{'url': 'https://t.co/4g5JQPap8K', 'expanded_url': 'https://twitter.com/i/web/status/1195854015831199746', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",43.0349931,-87.922497,#bernie
TruthInLight68,Lisa,"@100_Disable_vet 2016 was a #ShitYear, and so was the last 40-50 years!  My dad fought for  #US  He died b/c we (hi… https://t.co/BNjWS96WmV","[{'text': 'ShitYear', 'indices': [28, 37]}, {'text': 'US', 'indices': [92, 95]}]",2019-11-16 15:58:41,1,0,"[{'url': 'https://t.co/BNjWS96WmV', 'expanded_url': 'https://twitter.com/i/web/status/1195853729918009344', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
johnwic26852367,john wick,#Obama warns #Democrats against going too far left: 'We have to be rooted in reality'....#AOC: “We should abolish… https://t.co/zEMQmgo4rq,"[{'text': 'Obama', 'indices': [0, 6]}, {'text': 'Democrats', 'indices': [13, 23]}, {'text': 'AOC', 'indices': [89, 93]}]",2019-11-16 14:43:12,0,0,"[{'url': 'https://t.co/zEMQmgo4rq', 'expanded_url': 'https://twitter.com/i/web/status/1195834731327369218', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]",39.7837304,-100.4458825,#bernie
BHPanimalwatch,BHP Animal Watch,The clip here is great. Dissing #Bernie with snide take-me-downs from his smile to his sartorial choices has become… https://t.co/Y8cXfz5NaL,"[{'text': 'Bernie', 'indices': [32, 39]}]",2019-11-16 13:48:32,1,1,"[{'url': 'https://t.co/Y8cXfz5NaL', 'expanded_url': 'https://twitter.com/i/web/status/1195820974932971521', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
TruthInLight68,Lisa,@TweetingYarnie DM me how you become a delegate for #Bernie.  I will walk through fire if I have to!  I cannot endure another #CorporateDem!,"[{'text': 'Bernie', 'indices': [52, 59]}, {'text': 'CorporateDem', 'indices': [126, 139]}]",2019-11-16 13:05:03,1,1,[],39.7837304,-100.4458825,#bernie
Neilfan12,Steve 🦃🍽,"🏛 #Obama is right, we need a #moderate to beat #Trump AND accomplish things. Rules out #Bernie.

BOTH #TooFarLeft &amp;… https://t.co/BIEQQWeos7","[{'text': 'Obama', 'indices': [2, 8]}, {'text': 'moderate', 'indices': [29, 38]}, {'text': 'Trump', 'indices': [47, 53]}, {'text': 'Bernie', 'indices': [87, 94]}, {'text': 'TooFarLeft', 'indices': [102, 113]}]",2019-11-16 12:44:49,1,0,"[{'url': 'https://t.co/BIEQQWeos7', 'expanded_url': 'https://twitter.com/i/web/status/1195804941589200896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]",39.7837304,-100.4458825,#bernie
skau61,T C Skau61,@aishaismad @ResistorUSA Iowa loves #Bernie https://t.co/yR5z2eb2lj,"[{'text': 'Bernie', 'indices': [36, 43]}]",2019-11-17 13:03:28,6,3,[],39.7837304,-100.4458825,#bernie
skau61,T C Skau61,@davidaxelrod @ewarren @PeteButtigieg @JoeBiden Funny thing #Axelrod #Bernie has been talking about M4A since my ol… https://t.co/awMvJ6Dcvb,"[{'text': 'Axelrod', 'indices': [60, 68]}, {'text': 'Bernie', 'indices': [69, 76]}]",2019-11-17 11:48:30,0,0,"[{'url': 'https://t.co/awMvJ6Dcvb', 'expanded_url': 'https://twitter.com/i/web/status/1196153157438472192', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
alt_VotersHackd,Transparency is Truth,Biden would keep Marijuana a higher classification than Meth  #GATEWAYJOE That theory was defeated decades ago.. Th… https://t.co/YQxrFPfwW8,"[{'text': 'GATEWAYJOE', 'indices': [62, 73]}]",2019-11-18 15:47:06,0,0,"[{'url': 'https://t.co/YQxrFPfwW8', 'expanded_url': 'https://twitter.com/i/web/status/1196575591190937603', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
alt_VotersHackd,Transparency is Truth,@cenkuygur @JoeBiden If we are going to vote in a senior citizen its at least gonna be the one who's been on the ri… https://t.co/QrEeYEN5eC,[],2019-11-18 15:41:53,7,0,"[{'url': 'https://t.co/QrEeYEN5eC', 'expanded_url': 'https://twitter.com/i/web/status/1196574277056765958', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",39.7837304,-100.4458825,#bernie
